HYMN TITLE,Hymn
WHEN I SHALL COME TO THE END OF MY WAY,428
WHEN ALL MY LABORS AND TRIALS ARE O'ER,429
I HAVE A HOME IN A FAIR SUMMERLAND,430
WE ARE GOING HOME TO REST,431
TO CANAAN'S LAND I'M ON MY WAY,432
IN THE CHRISTIAN'S HOME IN GLORY,433
LOOKING TO THEE FROM DAY TO DAY,434
BEAUTIFUL VALLEY OF EDEN!,435
AS I TRAVEL THRU liFE WITH ITS TROUBLE AND STRIFE,436
liVING BELOW IN THIS OLD SINFUL WORLD,437
WE ARE GOING DOWN THE VALLEY ONE BY ONE,438
WHEN MY LATEST SUN SHALL SET,439
I AM THINKING TODAY OF THAT BEAUTIFUL LAND,440
ON THE HAPPY GOLDEN SHORE WHERE THE FAITHFUL PART NO MORE,441
ANGELS ARE SINGING REDEMPTION'S SWEET SONG,442
TAKE THE WORLD BUT GIVE ME JESUS,443
SING TO ME OF HEAVEN SING THAT SONG OF PEACE,444
THERE IS A HABITATION,445
THO I'M BUT A PILGRIM MY FORTUNE IS GREAT,446
THE TREASURES OF EARTH ARE NOT MINE,447
O THE UNSEARCHABLE RICHES OF CHRIST,448
JESUS CHRIST THE BLESSED LAMB,449
WALKING ALONE AT EVE AND VIEWING THE SKIES AFAR,450
THERE IS A SEA WHICH DAY BY DAY,451
WONDERFUL GRACE OF JESUS,452
SOME DAY THE SILVER CORD WILL BREAK,453
MARVELOUS GRACE OF OUR LOVING LORD,454
I'D liKE TO STAY HERE LONGER THAN MAN'S ALLOTTED DAYS,455
WITH FRIENDS ON EARTH WE MEET IN GLADNESS,456
I'VE A HOME PREPARED WHERE THE SAINTS ABIDE,457
O WEARY SOUL THE GATE IS NEAR,458
I'M IN THE WAY THE BRIGHT AND SHINING WAY,459
WHEN I COME TO THE RIVER AT ENDING OF DAY,460
ON JORDAN'S STORMY BANKS I STAND,461
LEAD ME GENTLY HOME FATHER LEAD ME GENTLY HOME,462
IT THRILLS MY SOUL TO HEAR THE SONGS OF PRAISE,463
GOD SO LOVED US THAT HE GAVE,464
THERE COMES TO MY HEART ONE SWEET STRAIN,465
FAR AWAY IN THE DEPTHS OF MY SPIRIT TONIGHT,466
COMING TO JESUS MY SAVIOR I FOUND,467
SOMETIMES WHEN MISGIVINGS DARKEN THE DAY,468
IF WHEN YOU GIVE THE BEST OF YOUR SERVICE,469
I KNOW MY HEAV'NLY FATHER KNOWS,470
WHATEVER MAY COME TO ME,471
NOT NOW BUT IN THE COMING YEARS,472
TEMPTED AND TRIED WE'RE OFT MADE TO WONDER,473
WHY SHOULD I FEEL DISCOURAGED,474
AMID THE TRIALS WHICH I MEET,475
OF JESUS' LOVE THAT SOUGHT ME,476
BLESSED ASSURANCE JESUS IS MINE,477
I AM SAFE WHATEVER MAY BETIDE ME,478
FOR GOD SO LOVED THIS SINFUL WORLD,479
THERE'S A liNE THAT IS DRAWN BY REJECTING OUR LORD,480
THE SERVICE OF JESUS TRUE PLEASURE AFFORDS,481
FOLLOWING STORM CLOUDS COMETH THE SUNliGHT,482
AFTER THE MIDNIGHT MORNING WILL GREET US,483
TRIALS DARK ON EV'RY HAND AND WE CANNOT UNDERSTAND,484
DOES JESUS CARE WHEN MY HEART IS PAINED,485
SOMEBODY KNOWS WHEN YOUR HEART ACHES,486
SOMEBODY CARES WHEN YOUR HEART ACHES,487
I'VE SEEN THE liGHTNING FLASHING,488
ONE IS WALKING WITH ME OVER liFE'S UNEVEN WAY,489
UNDER HIS WINGS I AM SAFELY ABIDING,490
IN THE SHADOW OF HIS WINGS,491
THERE'S A PLACE OF REST WHERE MY SOUL CAN SING,492
THERE ARE DAYS SO DARK THAT I SEEK IN VAIN,493
SAFE IN THE ARMS OF JESUS,494
WILL YOUR ANCHOR HOLD IN THE STORMS OF liFE,495
MY SOUL IN SAD EXILE WAS OUT ON liFE'S SEA,496
RESCUE THE PERISHING,497
THROW OUT THE liFE liNE ACROSS THE DARK WAVE,498
TIS THE GRANDEST THEME THRU THE AGES RUNG,499
THE FATHER KIND ABOVE,500
GIVE ME THE BIBLE STAR OF GLADNESS GLEAMING,501
THERE'S A BOOK WHICH SURPASSES THE SAGES,502
liKE A STAR OF THE MORNING IN ITS BEAUTY,503
DAY IS DYING IN THE WEST,504
O SCATTER SEEDS OF LOVING DEEDS,505
SCATTERING PRECIOUS SEED BY THE WAYSIDE,506
ARE YOU SOWING THE SEED OF THE KINGDOM BROTHER,507
BROTHER WHAT OF THE SEED YOU ARE SOWING,508
SOWING THE SEED BY THE DAYliGHT FAIR,509
THERE'S NOT A FRIEND TO ME liKE JESUS,510
