HYMN TITLE, Hymn
TWAS CHRIST MY LORD WHO CAME TO SHARE,162
THERE'S WITHIN MY HEART A MELODY,163
ALTHO I CANNOT SEE THE WAY,164
HARK 'TIS THE SHEPHERD'S VOICE I HEAR,165
I SERVE A RISEN SAVIOR HE'S IN THE WORLD TODAY,166
WHY DID THE SAVIOR HEAVEN LEAVE,167
WALKING IN SUNLIGHT ALL OF MY JOURNEY,168
HAVE THINE OWN WAY LORD,169
WHEN THE STORMS OF LIFE ARE RAGING,170
TIS THE GRANDEST THEME THRU THE AGES RUNG,171
SOMETIME WHEN MISGIVINGS DARKEN THE DAY,172
I WAS LOST IN SIN BUT JESUS RESCUED ME,173
GO SPREAD THE BLESSED GOSPEL,174
ALL DAY LONG OF JESUS I AM SINGING,175
WHEN DAYS OF TOIL HAVE ALL GONE BY,176
HIDE ME O MY SAVIOR HIDE ME,177
HOW FIRM A FOUNDATION YE SAINTS OF THE LORD,178
HOW SHALL THE YOUNG SECURE THEIR HEARTS,179
DEEPER THAN THE OCEAN AND WIDER THAN THE SEA,180
ONWARD REJOICING I TREAD LIFE'S WAY,181
O THOU BLESSED ROCK OF AGES,182
MARVELOUS GRACE INFINITE GRACE,183
WHEN YOU PILLOW YOUR HEAD AT THE CLOSE OF THE DAY,184
HE IS MY EV'RYTHING,185
HOLY HOLY HOLY LORD GOD ALMIGHTY,186
FATHER WHATE'ER OF EARTHLY BLISS,187
ALONE CHRIST STOOD IN PILATE'S HALL,188
HOLY FATHER GLOR'OUS MASTER,189
MY JESUS KNOWS WHEN I AM LONELY,190
IF FOR THE PRIZE WE HAVE STRIVEN,191
IS IT FOR ME DEAR SAVIOR,192
I'VE FOUND MY LORD AND HE IS MINE,193
WE READ OF A PLACE THAT'S CALLED HEAVEN,194
HOW SWEET HOW HEAV'NLY IS THE SIGHT,195
HOW SWEET THE NAME OF JESUS SOUNDS,196
I AM A STRANGER HERE WITHIN A FOREIGN LAND,197
ON JORDAN'S STORMY BANKS I STAND,198
SAVIOR I LOOK TO THEE,199
O JESUS I HAVE PROMISED,200
TAKE THE WORLD BUT GIVE ME JESUS,201
YOU MAY HAVE YOUR WORLDLY PLEASURES YOUR SILVER AND YOUR GOLD,202
I AM THINE O LORD I HAVE HEARD THY VOICE,203
I HAVE A SAVIOR HE'S PLEADING IN GLORY,204
I AM THINKING TODAY OF THAT BEAUTIFUL LAND,205
THE KING OF ALL KINGS WHO DID SUFFER FOR SIN,206
I AM GOING SOMEDAY TO THAT CITY FOUR-SQUARE,207
I HAVE HEARD OF A LAND ON THE FAR AWAY STRAND,208
I HAVE HEARD OF A LAND,209
I COME TO THE GARDEN ALONE,210
WHEN I NEED SOMEONE IN TIME OF GRIEF,211
I HOLD TO THE HAND OF MY SAVIOR AND FRIEND,212
PRECIOUS MEM'RIES UNSEEN ANGELS,213
MY NAME IS IN THE BOOK OF LIFE,214
MY LIFE MY LOVE I GIVE TO THEE,215
HERE WE ARE BUT STRAYING PILGRIMS,216
I KNOW THAT MY REDEEMER LIVES,217
I KNOW THAT MY REDEEMER LIVES,218
LORD I CARE NOT FOR RICHES,219
I BRING MY SINS TO THEE,220
IMMORTAL LOVE FOR EVER FULL,221
I KNOW THAT MY REDEEMER LIVETH,222
FOR GOD SO LOVED THIS SINFUL WORLD,223
I LOVE THY KINGDOM LORD,224
IN THE HOUR OF TRIAL,225
HAVE THINE AFFECTIONS BEEN NAILED TO THE CROSS?,226
I LOVE TO TELL THE STORY,227
I MUST NEEDS GO HOME BY THE WAY OF THE CROSS,228
I MUST TELL JESUS ALL OF MY TRIALS,229
I WANT TO BE A WORKER FOR THE LORD,230
I WALK WITH THE KING TO HEAVENLY LAND,231
I WILL SING OF MY REDEEMER,232
IN HEAVEN THEY'RE SINGING A WONDERFUL SONG,233
JESUS MY HEAV'NLY KING LOVES ME I KNOW,234
I HAVE A SONG I LOVE TO SING,235
I WOULD NOT LIVE WITHOUT JESUS,236
I KNOW NOT WHY GOD'S WONDROUS GRACE,237
I BELIEVE IN THE ONE THEY CALLED JESUS,238
ALLELUIA ALLELUIA,238b
SOON WE'LL COME TO THE END OF LIFE'S JOURNEY,239
WHEN THE SAVIOR CALLS I WILL ANSWER,240
I SAW THE CROSS OF JESUS,241
WHEN ALL MY TRIALS AND CARES ARE O'ER,242
SOME GLAD MORNING WHEN THIS LIFE IS O'ER,243
MY SAVIOR IS CALLING HIS VOICE I HEAR,244
THE HARVEST CALL COMES O'ER THE WAVE,245
THEY TRIED MY LORD AND MASTER,246
IT MAY NOT BE ON THE MOUNTAIN'S HEIGHT,247
I'D LIKE TO STAY HERE LONGER THAN MAN'S ALLOTTED DAYS,248
TIME IS FILLED WITH SWIFT TRANSITION,249
I WILL MEET YOU IN THE MORNING BY THE BRIGHT RIVER SIDE,250
THOUGH MY CROSS MAY BE HARD TO BEAR,251
EARLY MY GOD WITHOUT DELAY,252
THE LORD BLESS YOU AND KEEP YOU,253
IT MAY BE IN THE VALLEY WHERE COUNTLESS DANGERS HIDE,254
I'M PRESSING ON THE UPWARD WAY,255
I'M NOT ASHAMED TO OWN MY LORD,256
I NEED THEE EV'RY HOUR,257
INTO THE HEART OF JESUS DEEPER AND DEEPER I GO,258
OH WHAT WONDROUS LOVE I SEE,259
SOON THE TOILS OF LIFE WILL CEASE,260
IN THE KINGDOM OF THE LORD,261
IN THE LAND OF FADELESS DAY,262
IN THE DESERT OF SORROW AND SIN,263
SAVED ONES IN GLORY ARE WAITING FOR ME,264
IT MAY BE AT MORN WHEN THE DAY IS AWAKING,265
IT CAME UPON THE MIDNIGHT CLEAR,266
WHEN MY LIFE WORK IS ENDED AND I CROSS THE SWELLING TIDE,267
ALL THINGS PRAISE THEE LORD MOST HIGH,268
WHEN THE TRUMPET SHALL SOUND,269
FROM GREENLAND'S ICY MOUNTAINS,270
ASK AND IT SHALL BE GIVEN UNTO YOU,271
TIS A SWEET AND GLORIOUS THOUGHT THAT COMES TO ME,272
THE SERVICE OF JESUS TRUE PLEASURE AFFORDS,273
JESUS AND SHALL IT EVER BE,274
JESUS CALLS US: O'ER THE TUMULT,275
JESUS IS ALL THE WORLD TO ME,276
AS I TRAVEL THRU THIS PILGRIM LAND,277
JESUS IS CALLING CALLING CALLING,278
FADE FADE EACH EARTHLY JOY,279
WHEN PEACE LIKE A RIVER ATTENDETH MY WAY,280
DO THE DARK CLOUDS O'ERSHADOW YOUR PATHWAY?,281
JESUS SAVIOR DEAR REDEEMER,282
